"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"zkabx0133,""0.0"",""112452-001400"",""95490.0"",""2025-10-06"",""LA-00222578|zkabx0133||0"""
"470408,""1000000.0"","""",""0.0"",""2025-09-15"","""""
"470508,""1000000.0"","""",""0.0"",""2025-07-30"","""""
"mat_3,""0.0"","""",""55.0"",""2025-07-25"","""""
"zs3828w.60,""5000.0"",""V-001000"",""0.0"",""2025-11-25"","""""
"zs7010170168,""50000.0"",""V-005000"",""0.0"",""2025-08-28"","""""
"mb_5,""0.0"","""",""1.64"",""2025-07-25"","""""
"mat_41,""0.0"","""",""1.54"",""2025-07-25"","""""
"mat_42,""0.0"","""",""0.009"",""2025-07-25"","""""
"zs7010170168,""0.0"",""V-005000"",""50000.0"",""2026-05-21"","""""
"x26105015.47,""0.0"","""",""1000000.0"",""2025-07-25"",""LA-00227176|x26105015.47||0"""
"a40105040.60,""0.0"",""113678-005000"",""200000.0"",""2025-08-12"","""""
"a40105040.60,""0.0"",""113678-005000"",""200000.0"",""2025-09-09"","""""
"a40105040.60,""0.0"",""113678-005000"",""200000.0"",""2025-09-23"","""""
"a40105040.60,""0.0"",""113678-005000"",""100000.0"",""2025-10-07"","""""
"a40105040.60,""0.0"",""113678-005000"",""200000.0"",""2025-10-21"","""""
"5115.99,""10000.0"",""110615-001000"",""0.0"",""2025-08-04"","""""
"5118.99,""250.0"",""V-000250"",""0.0"",""2025-07-29"","""""
"03866b.68,""0.0"","""",""6000.0"",""2025-08-07"",""ZV-00229598|03866b.68||1"""
"3652ah,""0.0"","""",""2500.0"",""2025-07-23"",""ZV-00229600|3652ah||1"""
"3762b.67,""0.0"","""",""1000.0"",""2025-07-23"",""ZV-00229601|3762b.67||1"""
"380208.67,""0.0"","""",""1000.0"",""2025-07-23"",""ZV-00229602|380208.67||1"""
"3847.60,""0.0"","""",""7000.0"",""2025-07-23"",""ZV-00229603|3847.60||1"""
"3856.60,""0.0"","""",""12000.0"",""2025-07-23"",""ZV-00229604|3856.60||1"""
"3876c.67,""0.0"","""",""1000.0"",""2025-08-18"",""ZV-00229605|3876c.67||1"""
"3878a.67,""0.0"","""",""2500.0"",""2025-07-23"",""ZV-00229606|3878a.67||1"""
"3904,""0.0"","""",""1000.0"",""2025-07-23"",""ZV-00229607|3904||1"""
"440010.41,""0.0"","""",""25000.0"",""2025-09-18"",""ZV-00229608|440010.41||1"""
"450408.60,""0.0"","""",""100000.0"",""2025-07-29"",""ZV-00229610|450408.60||1"""
"450408.60,""0.0"","""",""100000.0"",""2025-07-29"",""ZV-00229611|450408.60||1"""
"2002.68,""0.0"","""",""65000.0"",""2025-07-22"",""ZL-00227728|2002.68||1"""
"3334a.67,""0.0"","""",""8500.0"",""2025-07-22"",""ZL-00227731|3334a.67||1"""
"x94064050.40,""0.0"","""",""60000.0"",""2025-08-28"","""""
"x94064050.45,""60000.0"","""",""0.0"",""2025-09-04"","""""
"3963,""0.0"",""V-001000"",""10000.0"",""2025-09-16"","""""
"3901,""0.0"",""V-001000"",""30000.0"",""2025-09-16"","""""
"956.62,""100000.0"","""",""0.0"",""2026-03-04"","""""
"1016l.28,""0.0"",""160447-000500"",""1500.0"",""2025-07-23"","""""
"450.64,""0.0"","""",""50000.0"",""2025-10-09"",""LA-00229847|450.64||0"""
"x45060090.10,""50000.0"","""",""0.0"",""2025-07-23"","""""
"zk240120113,""0.0"","""",""56700.0"",""2025-10-09"",""LA-00229847|zk240120113||0"""
"zkabx0210,""0.0"","""",""65750.0"",""2025-10-09"",""LA-00229847|zkabx0210||0"""
"sprd33408sw,""0.0"",""V-000500"",""100.0"",""2025-10-09"",""LA-00229847|sprd33408sw||0"""
"zk20499,""20000.0"",""V-000250"",""0.0"",""2025-09-18"","""""
"m30e12.00.pa,""0.0"",""160447-000500"",""500.0"",""2025-07-23"","""""
"sprd33416sw,""0.0"","""",""100.0"",""2025-10-09"",""LA-00229847|sprd33416sw||0"""
"zk20294,""0.0"","""",""50000.0"",""2025-10-09"",""LA-00229847|zk20294||0"""
"a40033019.80,""4900.0"",""V-005000"",""0.0"",""2025-05-28"","""""
"4500.64,""0.0"",""V-000500"",""40000.0"",""2025-08-04"","""""
"m30015.00.pa,""0.0"",""V-000500"",""500.0"",""2025-08-18"","""""
"4509b06.67,""0.0"",""118634-001000"",""10000.0"",""2025-07-29"","""""
"1364p.68,""0.0"",""160447-001000"",""5000.0"",""2025-07-23"","""""
"1364b.68,""0.0"",""160447-001000"",""3000.0"",""2025-07-23"","""""
"1364e.68,""0.0"",""160447-001000"",""5000.0"",""2025-07-23"","""""
"zk2101081471,""0.0"","""",""6480.0"",""2025-12-12"",""LA-00223476|zk2101081471||0"""
"kas187133113,""0.0"",""V-000216"",""32.0"",""2025-12-14"","""""
"kas194140060,""0.0"",""V-000216"",""32.0"",""2025-12-14"","""""
"kas187133003,""0.0"",""V-000216"",""162.0"",""2025-12-14"","""""
"5002.99,""0.0"",""V-000500"",""500.0"",""2025-07-01"","""""
"976.22,""0.0"","""",""25920.0"",""2026-03-03"",""LA-00223477|976.22||0"""
"zk210105791,""0.0"","""",""6480.0"",""2026-03-03"",""LA-00223477|zk210105791||0"""
"zk210105762,""0.0"","""",""6480.0"",""2026-03-03"",""LA-00223477|zk210105762||0"""
"zk2101081471,""0.0"","""",""6480.0"",""2026-03-03"",""LA-00223477|zk2101081471||0"""
"kas187133113,""0.0"",""V-000216"",""32.0"",""2026-03-03"","""""
"kas194140060,""0.0"",""V-000216"",""32.0"",""2026-03-03"","""""
"kas187133003,""0.0"",""V-000216"",""162.0"",""2026-03-03"","""""
"976.22,""0.0"","""",""25920.0"",""2026-04-17"",""LA-00223478|976.22||0"""
"zk210105791,""0.0"","""",""6480.0"",""2026-04-17"",""LA-00223478|zk210105791||0"""
"zk210105762,""0.0"","""",""6480.0"",""2026-04-17"",""LA-00223478|zk210105762||0"""
