"Teil,""Anzahl"""
"1042f.9,""1.0"""
"1042g.14,""5.0"""
"1042g.2,""4.0"""
"1042g.9,""1.0"""
"1042h,""3.0"""
"1042h.14,""14.0"""
"1042h.2,""10.0"""
"1042h.9,""4.0"""
"1042k.14,""6.0"""
"1042k.2,""4.0"""
"1042l.14,""3.0"""
"1042l.2,""4.0"""
"1042l.9,""3.0"""
"1042m.14,""7.0"""
"1042m.2,""6.0"""
"1042m.9,""4.0"""
"1042p.14,""9.0"""
"1042p.2,""5.0"""
"1042p.9,""6.0"""
"1042q,""7.0"""
"1042q.14,""4.0"""
"1042q.2,""10.0"""
"1042q.9,""4.0"""
"1042r.14,""4.0"""
"1042r.34,""5.0"""
"1042r.41,""6.0"""
"1042r.9,""3.0"""
"1042s.14,""5.0"""
"1042s.2,""5.0"""
"1042s.9,""6.0"""
"1042t.14,""3.0"""
"1042t.2,""5.0"""
"1042t.9,""5.0"""
"1042w.2,""2.0"""
"1043.14,""7.0"""
"1043.2,""3.0"""
"1043.9,""7.0"""
"1043b,""2.0"""
"1043b.14,""3.0"""
"1043b.2,""5.0"""
"1043b.9,""3.0"""
"1043c,""4.0"""
"1043c.14,""5.0"""
"1043c.2,""6.0"""
"1043c.9,""4.0"""
"1043g.2,""5.0"""
"1044.14,""4.0"""
"1044.34,""6.0"""
"1044.9,""5.0"""
"1044c,""2.0"""
"1044c.14,""5.0"""
"1044c.2,""10.0"""
"1044g.2,""5.0"""
"1044k,""2.0"""
"1044t.14,""1.0"""
"1044t.2,""2.0"""
"1045.14,""8.0"""
"1045.34,""5.0"""
"1045.9,""6.0"""
"104508,""1.0"""
"1045a,""2.0"""
"1045b,""1.0"""
"1045b.14,""1.0"""
"1045b.34,""5.0"""
"1045b.9,""4.0"""
"1045b05.2,""1.0"""
"1045b08.2,""11.0"""
"1045c,""1.0"""
"1045c.14,""10.0"""
"1045c.2,""11.0"""
"1045c.34,""5.0"""
"1045c.9,""10.0"""
"1045h.31,""11.0"""
"1045l.14,""4.0"""
"1045l.9,""5.0"""
